,S_MASS,P_PERIOD,P_DISTANCE,P_HABITABLE
1255,1.0,142.22895,0.64715487,0
1256,1.21,351.43394,1.0519688,0
1257,1.14,18144.762,14.265555,0
1258,0.94,2372.0,3.4183545,0
1259,0.84,20.477912,0.14,0
1260,0.62,27.948145,0.1593,0
1261,1.3,6.83776,0.079018979,0
1262,1.29,41.02902,0.2535,0
1264,0.87,4.0222902,0.0473,0
1265,0.86,16.004601,0.1179,0
1266,0.68,16.608164,0.1116,0
1269,1.06,5.75969,0.064290848,0
1270,0.12,1599.6,1.2922163,0
1271,1.19,9.6885996,0.0943,0
1272,1.42,96.045,0.47319345,0
1273,0.58,663.2,1.252152,0
1274,0.91,1945.0,3.162656,0
1275,0.7,13.8905,0.10080662,0
1276,1.2,8.406726,0.0880812,0
1277,0.95,38.377462,0.2163,0
1278,0.29,9.6737,0.08,0
1279,0.99,1.0662107,0.0204,0
1280,0.87,3.5256325,0.04434786,0
1281,1.09,5.4042722,0.0611,0
1282,1.09,1.208465,0.0225,0
1283,1.06,9.605027,0.090521437,0
1284,1.18,2.0523499,0.0322,0
1285,0.95,649.0,1.518408,0
1286,1.56,380.7,1.1934367,0
1287,0.79,7.122605,0.067,0
1288,1.07,5000.0,5.169,0
1289,0.93,44.236,0.26501856,0
1290,1.46,428.5,1.2626064,0
1291,0.2,19.53527,0.0649,1
1292,1.15,194.3,0.6391035,0
1293,1.01,7.055784,0.07221824,0
1294,1.0,8.269648,0.080014299,0
1295,1.19,15.413135,0.13242648,0
1296,0.58,4700.0,4.16,0
1297,0.86,15.677563,0.11905355,0
1298,0.91,4.7267398,0.05343,0
1299,1.0,3.05125,0.0448,0
1300,0.41,6.64064,0.0523,0
1301,0.74,95.5,0.45427095,0
1302,1.31,6.24658,0.073198451,0
1303,0.57,2.198884,0.027432755,0
1304,0.5,1.7292684,0.022512,0
1305,1.07,20.88977,0.1542772,0
1306,0.58,20.523,0.1159,0
1307,0.58,6.034,0.0513,0
1308,1.1,14.074524,0.11774152,0
1309,1.02,11.137278,0.09822658,0
1310,0.87,8.32727,0.0769,0
1311,1.01,13.841901,0.11317414,0
1312,0.49,111.7,0.375138,0
1313,2.1,184.2,0.810162,0
1314,1.02,41.474219,0.23599083,0
1315,0.83,24.451,0.15851995,0
1316,0.78,499.48,1.3048944,0
1317,0.84,5.3518,0.0567825,0
1318,0.78,345.72,1.010328,0
1319,1.34,227.0,0.7942,0
1320,1.66,1270.0,2.759304,0
1321,0.8,14773.933,11.152648,0
1322,0.94,7593.4051,9.3842967,0
1323,1.42,1143.5986,2.7819146,0
1324,0.84,49.77,0.2620125,0
1325,1.54,464.4,1.3696295,0
1326,1.17,4.733999,0.05904122,0
1327,0.76,439.29999,1.1144955,0
1328,1.22,3.21346,0.0456,0
